address,extracted_address,latitude,longitude,url,cleaned_url,url_type
Ministop -  Lý Tự Trọng 3,"126 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",10.773993,106.6967236,"https://www.google.com/maps/place/Ministop%2B-%2BL%C3%BD%2BT%E1%BB%B1%2BTr%E1%BB%8Dng%2B3/@10.773993,106.6967236,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f8dbc2e05d7:0x600a77e7b74b25b7!8m2!3d10.773993!4d106.6967236!16s/g/11y1htdjpk","https://www.google.com/maps/place/Ministop%2B-%2BL%C3%BD%2BT%E1%BB%B1%2BTr%E1%BB%8Dng%2B3/@10.773993,106.6967236,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f8dbc2e05d7:0x600a77e7b74b25b7!8m2!3d10.773993!4d106.6967236!16s/g/11y1htdjpk",search+selected_place
Ministop -  Tân Quý 2,"446 Đ. Tân Kỳ Tân Quý, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7985708,106.6165472,"https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2","https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2",search+selected_place
Ministop -  Trần Bình Trọng,"52A Trần Bình Trọng, Phường 5, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",10.8127055,106.6879861,"https://www.google.com/maps/place/MINISTOP/@10.8127055,106.6879861,17z/data=!3m1!4b1!4m6!3m5!1s0x3175295cffff2989:0x3d988226a14d5c63!8m2!3d10.8127055!4d106.6879861!16s/g/11krtx7b82","https://www.google.com/maps/place/MINISTOP/@10.8127055,106.6879861,17z/data=!3m1!4b1!4m6!3m5!1s0x3175295cffff2989:0x3d988226a14d5c63!8m2!3d10.8127055!4d106.6879861!16s/g/11krtx7b82",search+selected_place
Ministop -  Lạc Long Quân 2,"353 Lạc Long Quân, Phường 5, Quận 11, Thành phố Hồ Chí Minh, Vietnam",10.7709861,106.6451441,"https://www.google.com/maps/place/Ministop%2BL%E1%BA%A1c%2BLong%2BQu%C3%A2n/@10.7709861,106.6451441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0021a4c275:0xe0b827355610deaa!8m2!3d10.7709861!4d106.6451441!16s/g/11vm9ntpzn","https://www.google.com/maps/place/Ministop%2BL%E1%BA%A1c%2BLong%2BQu%C3%A2n/@10.7709861,106.6451441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0021a4c275:0xe0b827355610deaa!8m2!3d10.7709861!4d106.6451441!16s/g/11vm9ntpzn",search+selected_place
Ministop -  Thành Thái 3,"5 Đ. Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Vietnam",10.7693551,106.6661588,"https://www.google.com/maps/place/MINISTOP%2BViet%2BNam/@10.7693551,106.6661588,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f4a191cb8df:0xf20c5ed312e9ed1a!8m2!3d10.7693551!4d106.6661588!16s/g/11v3q6mrcy","https://www.google.com/maps/place/MINISTOP%2BViet%2BNam/@10.7693551,106.6661588,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f4a191cb8df:0xf20c5ed312e9ed1a!8m2!3d10.7693551!4d106.6661588!16s/g/11v3q6mrcy",search+selected_place
Ministop -  Mã Lò,"102 Đường Số 29, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Vietnam",10.7568145,106.611728,"https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2BS257%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B29/@10.7568145,106.611728,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s/g/11y6b46zks","https://www.google.com/maps/place/CHTL%2B-%2BMINISTOP%2B-%2BS257%2B-%2B%C4%90%C6%B0%E1%BB%9Dng%2Bs%E1%BB%91%2B29/@10.7568145,106.611728,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s/g/11y6b46zks",search+selected_place
Ministop -  Lê Văn Thọ,"314 Đ. Lê Văn Thọ, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh 70000, Vietnam",10.8454085,106.6571299,"https://www.google.com/maps/place/MiniStop%2Bl%C3%AA%2Bv%C4%83n%2Bth%E1%BB%8D/@10.8454085,106.6571299,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004fb9e7a9:0x6e9b0c45a3460be7!8m2!3d10.8454085!4d106.6571299!16s/g/11y43t68sr","https://www.google.com/maps/place/MiniStop%2Bl%C3%AA%2Bv%C4%83n%2Bth%E1%BB%8D/@10.8454085,106.6571299,17z/data=!3m1!4b1!4m6!3m5!1s0x317529004fb9e7a9:0x6e9b0c45a3460be7!8m2!3d10.8454085!4d106.6571299!16s/g/11y43t68sr",search+selected_place
Ministop -  Lê Đức Thọ 2,"527 Đ. Lê Đức Thọ, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh 70000, Vietnam",10.8463217,106.6704441,"https://www.google.com/maps/place/MINISTOP%2B-%2BL%C3%AA%2B%C4%90%E1%BB%A9c%2BTh%E1%BB%8D/@10.8463217,106.6704441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752976c24363db:0xbec98fd9626dabe5!8m2!3d10.8463217!4d106.6704441!16s/g/11syj81266","https://www.google.com/maps/place/MINISTOP%2B-%2BL%C3%AA%2B%C4%90%E1%BB%A9c%2BTh%E1%BB%8D/@10.8463217,106.6704441,17z/data=!3m1!4b1!4m6!3m5!1s0x31752976c24363db:0xbec98fd9626dabe5!8m2!3d10.8463217!4d106.6704441!16s/g/11syj81266",search+selected_place
Ministop -  Cư Xá Lữ Gia,"43B Đường Số 2, Khu Phố 2, Quận 11, Thành phố Hồ Chí Minh, Vietnam",10.7717332,106.6546196,"https://www.google.com/maps/place/Mini%2BStop/@10.7717332,106.6546196,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f27fd7bd077:0x1c7d2e440ee8a00!8m2!3d10.7717332!4d106.6546196!16s/g/11l5x2kb43","https://www.google.com/maps/place/Mini%2BStop/@10.7717332,106.6546196,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f27fd7bd077:0x1c7d2e440ee8a00!8m2!3d10.7717332!4d106.6546196!16s/g/11l5x2kb43",search+selected_place
Ministop -  Bệnh Viện Quân Y 175,"768 Nguyễn Kiệm, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh, Vietnam",10.8164443,106.6802522,"https://www.google.com/maps/place/Ministop%2BB%E1%BB%87nh%2Bvi%E1%BB%87n%2Bqu%C3%A2n%2By/@10.8164443,106.6802522,17z/data=!3m1!4b1!4m6!3m5!1s0x31752996cb1c03a9:0x5bf536fd3cd97bb!8m2!3d10.8164443!4d106.6802522!16s/g/11vj6xbj37","https://www.google.com/maps/place/Ministop%2BB%E1%BB%87nh%2Bvi%E1%BB%87n%2Bqu%C3%A2n%2By/@10.8164443,106.6802522,17z/data=!3m1!4b1!4m6!3m5!1s0x31752996cb1c03a9:0x5bf536fd3cd97bb!8m2!3d10.8164443!4d106.6802522!16s/g/11vj6xbj37",search+selected_place
Ministop -  Tân Kỳ Tân Quý 2,"446 Đ. Tân Kỳ Tân Quý, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7985708,106.6165472,"https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2","https://www.google.com/maps/place/Ministop%2BS210%2B-%2B446%2BT%C3%A2n%2BK%E1%BB%B3%2BT%C3%A2n%2BQu%C3%BD/@10.7985708,106.6165472,17z/data=!3m1!4b1!4m6!3m5!1s0x31752b2d5ecd5969:0x2616307ab6825485!8m2!3d10.7985708!4d106.6165472!16s/g/11kqrg8sk2",search+selected_place
Ministop -  One Verandah,"1 Tạ Hiện, Phường Thạnh Mỹ Lợi, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.7768961,106.7515739,"https://www.google.com/maps/place/Ministop%2BOne%2BVerandah/@10.7768961,106.7515739,17z/data=!3m1!4b1!4m6!3m5!1s0x317525000c1ced8d:0xdd9e4e798fcefed7!8m2!3d10.7768961!4d106.7515739!16s/g/11vpdlvtwk","https://www.google.com/maps/place/Ministop%2BOne%2BVerandah/@10.7768961,106.7515739,17z/data=!3m1!4b1!4m6!3m5!1s0x317525000c1ced8d:0xdd9e4e798fcefed7!8m2!3d10.7768961!4d106.7515739!16s/g/11vpdlvtwk",search+selected_place
