,name,extracted_address,latitude,longitude,url,url_type,address
11,Ministop -  Lý Chính Thắng,"228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh, Vietnam",10.7789532,106.6792375,"https://www.google.com/maps/place/CHTL+Ministop+-+S260+-+L%C3%BD+Ch%C3%ADnh+Th%E1%BA%AFng/@10.7789532,106.6792375,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f006ffb8135:0xcd8bf4d969c7c31f!8m2!3d10.7789479!4d106.6818124!16s%2Fg%2F11w4cb_56h?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"226/1A - 228 Lý Chính Thắng, Phường 9, Quận 3, Thành phố Hồ Chí Minh."
12,Ministop -  Cư xá Phú Lâm,"48 Lô C Lý Chiêu Hoàng, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Vietnam",10.7377262,106.6272347,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+259+-+C%C6%B0+x%C3%A1+Ph%C3%BA+L%C3%A2m+D/@10.7377262,106.6272347,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0067a8de63:0x712161c761860643!8m2!3d10.7377209!4d106.6298096!16s%2Fg%2F11wc9lm7rc?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"D 48 Lô C, Đường nội bộ Cư xá Phú Lâm D, Phường 10, Quận 6, Thành phố Hồ Chí Minh."
13,Ministop -  Lê Minh Xuân,"102 Lê Minh Xuân, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",10.7870904,106.6514923,"https://www.google.com/maps/place/MINISTOP+-+L%C3%AA+Minh+Xu%C3%A2n/@10.7870904,106.6514923,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0078501f95:0x83a3d5ad6fab7638!8m2!3d10.7870851!4d106.6540672!16s%2Fg%2F11w3vbqzf9?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"102 Lê Minh Xuân, Phường 07, Quận Tân Bình, Thành phố Hồ Chí Minh."
14,Ministop -  Đường số 29,"102 Đường Số 29, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh, Vietnam",10.7568198,106.6091531,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S257+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+29/@10.7568198,106.6091531,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0009d9f3f5:0x7d10875e351a63b3!8m2!3d10.7568145!4d106.611728!16s%2Fg%2F11y6b46zks?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"102 Đường số 29, Khu phố 2, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh."
15,Ministop -  Tân Sơn Nhì 3,"293 Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.8021666,106.3381894,"https://www.google.com/maps/place/MINISTOP+-+T%C3%82N+K%E1%BB%B2+T%C3%82N+QU%C3%9D/@10.8021666,106.3381894,11z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgVMOibiBTxqFuIE5ow6wgMw!3m6!1s0x31752b4ff1f46ee3:0x5e8717e2631358fa!8m2!3d10.8021666!4d106.6265805!15sChxNaW5pc3RvcCAtICBUw6JuIFPGoW4gTmjDrCAzIgOIAQFaGyIZbWluaXN0b3AgdMOibiBzxqFuIG5ow6wgM5IBEWNvbnZlbmllbmNlX3N0b3JlqgFrCg0vZy8xMWJicmhqMF9kCgkvbS8wNjF0cTUQASoMIghtaW5pc3RvcChCMiAQASIcam_WoVxDWhoF4zDJLXuQeqF2PgdUQwQU4DhTMzIdEAIiGW1pbmlzdG9wIHTDom4gc8ahbiBuaMOsIDPgAQA!16s%2Fg%2F11pf681q26?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"200A - 200B Tân Sơn Nhì, Phường Tân Sơn Nhì, Quận Tân Phú, Thành phố Hồ Chí Minh."
16,Ministop -  Tân Kỳ Tân Quý 3,"293 Đ. Tân Kỳ Tân Quý, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh, Vietnam",10.7974518,106.6134251,"https://www.google.com/maps/place/MINISTOP+-+T%C3%82N+K%E1%BB%B2+T%C3%82N+QU%C3%9D/@10.7974518,106.6134251,15z/data=!4m10!1m2!2m1!1zTWluaXN0b3AgLSAgVMOibiBL4buzIFTDom4gUXXDvSAz!3m6!1s0x31752b4ff1f46ee3:0x5e8717e2631358fa!8m2!3d10.8021666!4d106.6265805!15sCiFNaW5pc3RvcCAtICBUw6JuIEvhu7MgVMOibiBRdcO9IDMiA4gBAVogIh5taW5pc3RvcCB0w6JuIGvhu7MgdMOibiBxdcO9IDOSARFjb252ZW5pZW5jZV9zdG9yZaoBbwoNL2cvMTFiYnJoajBfZAoJL20vMDYxdHE1EAEqDCIIbWluaXN0b3AoQjIfEAEiG6VDqsm6Oy8nFI8ZsnWmnixcJjfvH3_p7HkVbDIiEAIiHm1pbmlzdG9wIHTDom4ga-G7syB0w6JuIHF1w70gM-ABAA!16s%2Fg%2F11pf681q26?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"164A Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh."
17,Ministop -  Alnata Plus – Celadon City,"S2.0.02 Đ. Tân Thạnh, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh 70000, Vietnam",10.8039193,106.6122347,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S254+-+Celadon+City/@10.8039193,106.6122347,17z/data=!4m10!1m2!2m1!1sMinistop+-++Alnata+Plus+%E2%80%93+Celadon+City!3m6!1s0x31752b005445caf1:0xb75d59c613fde84!8m2!3d10.8039193!4d106.6167408!15sCihNaW5pc3RvcCAtICBBbG5hdGEgUGx1cyDigJMgQ2VsYWRvbiBDaXR5IgOIAQGSAQxvdXRsZXRfc3RvcmWqAX4KDS9nLzExYmJyaGowX2QKCS9tLzA2MXRxNRABKhgiFG1pbmlzdG9wIGFsbmF0YSBwbHVzKAAyHxABIhttV1_UOlTzhs5oaqcXzaBgA6PO3RupNPVBx-YyJRACIiFtaW5pc3RvcCBhbG5hdGEgcGx1cyBjZWxhZG9uIGNpdHngAQA!16s%2Fg%2F11w3lspy4c?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"S2.0.02, Tầng Trệt và Tầng 1, Khối đế P2, Khu A6 (Alnata Plus – Celadon City), Số 2, Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh."
18,Ministop -  Đường 154,"223 Đ. 154, Khu Phố 3, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",10.8648534,106.8082382,"https://www.google.com/maps/place/Ministop+Topaz+Home+2/@10.8648534,106.8082382,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270004299aa7:0x6027059844f6f3b1!8m2!3d10.8648481!4d106.8108131!16s%2Fg%2F11w3bv9qcq?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"223 Đường 154, Phường Tân Phú, Thành phố Thủ Đức, Thành phố Hồ Chí Minh."
19,Ministop -  Tô Hiến Thành,"163 Đ. Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",10.7805338,106.6665568,"https://www.google.com/maps/place/Ministop/@10.7805338,106.6665568,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f0058cc8acd:0xe2388717e1b34937!8m2!3d10.7805285!4d106.6691317!16s%2Fg%2F11vzgg48fb?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search+selected_place,"161 Tô Hiến Thành, Phường 13, Quận 10, Thành phố Hồ Chí Minh."
20,Ministop -  Westgate,"MHRP+3G Chung cư Westgate, TT. Tân Túc, Bình Chánh, Thành phố Hồ Chí Minh, Vietnam",10.6873755,106.5745475,"https://www.google.com/maps/place/Ministop+-+Westgate/@10.6873755,106.5745475,16z/data=!4m10!1m2!2m1!1sMinistop+-++Westgate!3m6!1s0x317533000fa7efe7:0x6c66ad9c7427587c!8m2!3d10.6902398!4d106.5862555!15sChRNaW5pc3RvcCAtICBXZXN0Z2F0ZSIDiAEBWhMiEW1pbmlzdG9wIHdlc3RnYXRlkgERY29udmVuaWVuY2Vfc3RvcmWqAVQKDS9nLzExYmJyaGowX2QKCS9tLzA2MXRxNRABMh8QASIbaYOBwmCFwWilw92WMvyVqMBkeygpa9AiSuwXMhUQAiIRbWluaXN0b3Agd2VzdGdhdGXgAQA!16s%2Fg%2F11y43xgh7w?entry=ttu&g_ep=EgoyMDI1MTEwNC4xIKXMDSoASAFQAw%3D%3D",search,"0.04 Lầu Trệt (Thông tầng) Tháp A1, Dự án Westgate, Lô F Trung tâm hành chính huyện Bình Chánh, Đường Tân Túc, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh."
