,url
21,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S249+-+Ch%C6%B0%C6%A1ng+D%C6%B0%C6%A1ng/@10.8518964,106.6158871,12z/data=!4m7!3m6!1s0x317527003eb8b265:0xb66c1c8a40cc9da4!8m2!3d10.8518964!4d106.7600827!15sCh9NaW5pc3RvcCAtICBDaMawxqFuZyBExrDGoW5nIDIgIgOIAQFaHSIbbWluaXN0b3AgY2jGsMahbmcgZMawxqFuZyAykgEMb3V0bGV0X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJJTVRZM1ZHVkJFQUXgAQD6AQQIABAc!16s%2Fg%2F11w91xtj68?entry=tts&g_ep=EgoyMDI1MTAyOS4yIPu8ASoASAFQAw%3D%3D&skid=aa4c734a-67a6-44c0-b162-478e7e948018"
22,"https://www.google.com/maps/place/Ministop+-+UOA+Tower/@10.7301259,106.7221183,17z/data=!3m1!4b1!4m6!3m5!1s0x31752500042a5461:0xebe8bf52a1f4bea1!8m2!3d10.7301206!4d106.7246932!16s%2Fg%2F11y3vq_2r4?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
23,"https://www.google.com/maps/place/Ministop+-+65bis+M%E1%BA%A1c+%C4%90%C4%A9nh+Chi/@10.7879076,106.4074664,11z/data=!4m7!3m6!1s0x31752f002457f085:0x951193ca4b0a3823!8m2!3d10.7879076!4d106.6958575!15sCh9NaW5pc3RvcCAtICBN4bqhYyDEkMSpbmggQ2hpIDIgIgOIAQFaHSIbbWluaXN0b3AgbeG6oWMgxJHEqW5oIGNoaSAykgERY29udmVuaWVuY2Vfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk1ieTE2TTFkQkVBReABAPoBBAgAEDM!16s%2Fg%2F11vwrlsk_d?entry=tts&g_ep=EgoyMDI1MTAyOS4yIPu8ASoASAFQAw%3D%3D&skid=4ce678c4-cb2d-4ed9-ab8d-83c2259d0d43"
24,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+246+-+%C4%90i%E1%BB%87n+Bi%C3%AAn+Ph%E1%BB%A7/@10.7975135,106.7035872,21z/data=!4m15!1m8!3m7!1s0x317528b71b9d435b:0x619fe127943c7dd0!2zMTUzIMSQaeG7h24gQmnDqm4gUGjhu6csIFBoxrDhu51uZyAyLCBCw6xuaCBUaOG6oW5oLCBUaMOgbmggcGjhu5EgSOG7kyBDaMOtIE1pbmgsIFZpZXRuYW0!3b1!8m2!3d10.7975082!4d106.7037481!16s%2Fg%2F11lk04vly7!3m5!1s0x317529003a924565:0x20fa51ea59cde12d!8m2!3d10.7974295!4d106.7037547!16s%2Fg%2F11lnwmwb71?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
25,"https://www.google.com/maps/place/Ministop/@10.8063431,106.6966936,21z/data=!4m15!1m8!3m7!1s0x317528c12808ae23:0x71306324f85af8f!2zOTcgTMOqIFF1YW5nIMSQ4buLbmgsIFBoxrDhu51uZyAxNCwgQsOsbmggVGjhuqFuaCwgVGjDoG5oIHBo4buRIEjhu5MgQ2jDrSBNaW5oLCBWaWV0bmFt!3b1!8m2!3d10.8063378!4d106.6968545!16s%2Fg%2F11bw3_t78r!3m5!1s0x31752900179abc1b:0xcca34a06295501ee!8m2!3d10.8063378!4d106.6968545!16s%2Fg%2F11vwnh8zv7?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
26,"https://www.google.com/maps/place/MINISTOP+-+S243+-+An+D%C6%B0%C6%A1ng+V%C6%B0%C6%A1ng/@10.7532575,106.6244107,17z/data=!3m1!4b1!4m6!3m5!1s0x31752d0059628c91:0x4c7b780104f45cfe!8m2!3d10.7532575!4d106.6244107!16s%2Fg%2F11vx25nyg4?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
27,"https://www.google.com/maps/place/MINISTOP+-+S242+-+H%C3%B2a+B%C3%ACnh/@10.769648,106.6152745,15z/data=!4m10!1m2!2m1!1sMinistop+-++H%C3%B2a+B%C3%ACnh+!3m6!1s0x31752f0035fb3deb:0xa7d4a050a5791453!8m2!3d10.769648!4d106.6332989!15sChdNaW5pc3RvcCAtICBIw7JhIELDrG5oICIDiAEBkgERY29udmVuaWVuY2Vfc3RvcmXgAQA!16s%2Fg%2F11y45k6p0t?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
28,"https://www.google.com/maps/place/Ministop+-+C%C4%90KT+%C4%90%E1%BB%91i+Ngo%E1%BA%A1i/@10.8126338,106.7694172,17z/data=!3m1!4b1!4m6!3m5!1s0x317526f674a4dd07:0xa861f71f0ce7c3a!8m2!3d10.8126285!4d106.7719921!16s%2Fg%2F11xdz_1_2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
29,"https://www.google.com/maps/place/MINISTOP+-+S239+-+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+12/@10.7925193,106.7319065,17z/data=!3m1!4b1!4m6!3m5!1s0x317527002a111fc5:0x437c1c5d03656612!8m2!3d10.7925193!4d106.7319065!16s%2Fg%2F11vz94j1vy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
30,"https://www.google.com/maps/place/CHTL+-+MINISTOP+-+S240+-+Kha+V%E1%BA%A1n+C%C3%A2n/@10.857044,106.754313,17z/data=!3m1!4b1!4m6!3m5!1s0x3175270036bdf1e1:0x155c0075c207cf60!8m2!3d10.8570387!4d106.7568879!16s%2Fg%2F11vy3c27h3?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
