address,latitude,longitude,url
"0.04 Lầu Trệt (Thông tầng) Tháp A1, Dự án Westgate, Lô F Trung tâm hành chính huyện Bình Chánh, Đường Tân Túc, Khu phố 4, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh.",10.6892972,106.5831643,"https://www.google.com/maps/place/Chung+c%C6%B0+WestGate+An+Gia+B%C3%ACnh+Ch%C3%A1nh/@10.6892972,106.5831643,17z/data=!3m1!4b1!4m6!3m5!1s0x31753310f70a8d8f:0x7c438aa25dd854ca!8m2!3d10.6892919!4d106.5857392!16s%2Fg%2F11j94qprbf?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"24A Chương Dương, Khu phố 3, Phường Linh Chiểu, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",10.8518315,106.7574728,"https://www.google.com/maps/place/24A+Ch%C6%B0%C6%A1ng+D%C6%B0%C6%A1ng,+Linh+Chi%E1%BB%83u,+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8518315,106.7574728,17z/data=!3m1!4b1!4m6!3m5!1s0x317527980d92cb5b:0xc9eb3d69dbdf1719!8m2!3d10.8518262!4d106.7600477!16s%2Fg%2F11vyxs84wb?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"UOA Tower, 6 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh.",10.7301608,106.7221755,"https://www.google.com/maps/place/UOA+TOWER/@10.7301608,106.7221755,17z/data=!3m1!4b1!4m6!3m5!1s0x317525475fbe1041:0x72441088347761f!8m2!3d10.7301555!4d106.7247504!16s%2Fg%2F11j7y_dhv5?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"65 Bis Mạc Đĩnh Chi, Phường Đa Kao, Quận 1, Thành phố Hồ Chí Minh.",10.7865659,106.6963421,"https://www.google.com/maps/search/65+Bis+M%E1%BA%A1c+%C4%90%C4%A9nh+Chi,+Ph%C6%B0%E1%BB%9Dng+%C4%90a+Kao,+Qu%E1%BA%ADn+1,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.7865659,106.6963421,18z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"153 Điện Biên Phủ, Phường 2, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",10.797505,106.7003904,"https://www.google.com/maps/search/153+%C4%90i%E1%BB%87n+Bi%C3%AAn+Ph%E1%BB%A7,+Ph%C6%B0%E1%BB%9Dng+2,+Qu%E1%BA%ADn+B%C3%ACnh+Th%E1%BA%A1nh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.797505,106.7003904,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"97 Lê Quang Định, Phường 14, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",10.8063431,106.6942796,"https://www.google.com/maps/place/97+L%C3%AA+Quang+%C4%90%E1%BB%8Bnh,+Ph%C6%B0%E1%BB%9Dng+14,+B%C3%ACnh+Th%E1%BA%A1nh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8063431,106.6942796,17z/data=!3m1!4b1!4m6!3m5!1s0x317528c12808ae23:0x71306324f85af8f!8m2!3d10.8063378!4d106.6968545!16s%2Fg%2F11bw3_t78r?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"822 - 824 An Dương Vương, Phường 13, Quận 6, Thành phố Hồ Chí Minh.",10.7532628,106.6218358,"https://www.google.com/maps/place/822+An+D%C6%B0%C6%A1ng+V%C6%B0%C6%A1ng,+Ph%C6%B0%E1%BB%9Dng+13,+Qu%E1%BA%ADn+6,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.7532628,106.6218358,17z/data=!3m1!4b1!4m6!3m5!1s0x31752c2b973c0705:0x793c244c1f208dd9!8m2!3d10.7532575!4d106.6244107!16s%2Fg%2F11xrd0hjjr?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"53 Hòa Bình, Phường Tân Thới Hòa, Quận Tân Phú, Thành phố Hồ Chí Minh.",10.7696539,106.630661,"https://www.google.com/maps/place/53+%C4%90.+H%C3%B2a+B%C3%ACnh,+T%C3%A2n+Th%E1%BB%9Bi+Ho%C3%A0,+T%C3%A2n+Ph%C3%BA,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh+70000,+Vietnam/@10.7696539,106.630661,17z/data=!3m1!4b1!4m6!3m5!1s0x31752e9f14b04697:0xa42f93f5dab804aa!8m2!3d10.7696486!4d106.6332359!16s%2Fg%2F11q2nb86rk?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"163 Đại Lộ 3, Phường Phước Bình, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.8125573,106.7694704,"https://www.google.com/maps/place/163+%C4%90%E1%BA%A1i+L%E1%BB%99+3,+Ph%C6%B0%E1%BB%9Bc+B%C3%ACnh,+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8125573,106.7694704,17z/data=!3m1!4b1!4m6!3m5!1s0x317526f60ade959b:0xe1f47333b66c4d62!8m2!3d10.812552!4d106.7720453!16s%2Fg%2F11fsjwzs81?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"13A Đường số 12, Khu phố 4, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.7920669,106.7318799,"https://www.google.com/maps/search/13A+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+12,+Khu+ph%E1%BB%91+4,+Ph%C6%B0%E1%BB%9Dng+An+Kh%C3%A1nh,+Th%C3%A0nh+ph%E1%BB%91+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh./@10.7920669,106.7318799,17z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"819 Kha Vạn Cân, Khu phố 2, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.",10.857044,106.754313,"https://www.google.com/maps/place/819+%C4%90.+Kha+V%E1%BA%A1n+C%C3%A2n,+Linh+Chi%E1%BB%83u,+Th%E1%BB%A7+%C4%90%E1%BB%A9c,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.857044,106.754313,17z/data=!3m1!4b1!4m6!3m5!1s0x31752790cc44908d:0xfbb668c3e49c9e95!8m2!3d10.8570387!4d106.7568879!16s%2Fg%2F11rr_zzb3n?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
"233A Phan Văn Trị, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh.",10.8123219,106.6925915,"https://www.google.com/maps/place/233A+%C4%90.+Phan+V%C4%83n+Tr%E1%BB%8B,+Ph%C6%B0%E1%BB%9Dng+11,+B%C3%ACnh+Th%E1%BA%A1nh,+Th%C3%A0nh+ph%E1%BB%91+H%E1%BB%93+Ch%C3%AD+Minh,+Vietnam/@10.8123219,106.6925915,17z/data=!3m1!4b1!4m6!3m5!1s0x317528ea14157f63:0xd5ea9898349a8884!8m2!3d10.8123166!4d106.6951664!16s%2Fg%2F11jzpjn550?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D"
