address,extracted_address,addr_cos_sim
"Gian hàng số BB-S01, Tầng trệt, KDC New City, Số 17 Mai Chí Thọ, KP.3, Phường An Khánh, TP. Thủ Đức, TP. HCM","17 Mai Chí Thọ, Phường An Khánh, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",0.7301603
"120 Xa Lộ Hà Nội, Phường Tân Phú, TP. Thủ Đức, TP. HCM","120 Song Hành Xa Lộ Hà Nội, P, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",0.73619175
"7A/7 Thành Thái, Phường 14, Quận 10","136 Đ. Thành Thái, Phường 14, Quận 10, Thành phố Hồ Chí Minh, Vietnam",0.78012276
"15A Phân khu E1, Khu Công Nghệ Cao, Xa Lộ Hà Nội, Phường Hiệp Phú, TP. Thủ Đức, TP. HCM","Vietnam, Thành phố Hồ Chí Minh, Thủ Đức, Hiệp Phú, Song Hành Xa Lộ Hà Nội",0.6813163
"192A Hoàng Diệu, Phường 9, Quận 4","58 Đ. Hoàng Diệu 2, Linh Chiểu, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",0.6906792
"T5-B01.03+04, tại tầng 1 thuộc dự án Khu nhà ở chung cư cao cấp Masteri Thảo Điền, số 159 Võ Nguyên Giáp, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh.","RP3R+4Q7, Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",0.6476898
"8 Vũ Tông Phan, Phường An Phú, TP. Thủ Đức, TP. HCM","8 Vũ Tông Phan, An Phú, Thủ Đức, Thành phố Hồ Chí Minh, Vietnam",0.8382989
"18 Hoàng Hoa Thám, Phường 12, Quận Tân Bình","10A Hoàng Hoa Thám, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh, Vietnam",0.6669471
"Nhà A19 - Ký túc xá Khu A Đại học Quốc Gia, Khu phố Tân Lập, Phường Đông Hòa, Thành phố Dĩ An, Tỉnh Bình Dương","Vietnam, Thành phố Hồ Chí Minh, Thủ Đức, Hiệp Phú, Song Hành Xa Lộ Hà Nội",0.7565232
"351A Nguyễn Trọng Tuyển, Phường 1, Quận Tân Bình","41 Nguyễn Trọng Tuyển, Phường 15, Phú Nhuận, Thành phố Hồ Chí Minh, Vietnam",0.7971616
"88-88A-90-92 Trương Công Định, Phường 14, Quận Tân Bình Số điện thoại:","88 Trương Công Định, Phường 14, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",0.84667134
"B22 Bạch Đằng, Phường 2, Quận Tân Bình Số điện thoại:","165 Đ. Bạch Đằng, Phường 2, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",0.70519555
"45 Hậu Giang, Phường 4, Quận Tân Bình Số điện thoại:","Số 45 Hậu Giang, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",0.8497348
"02 Trần Doãn Khanh, Phường Đa Kao, Quận 1 Số điện thoại:","2 Đ. Trần Doãn Khanh, Đa Kao, Quận 1, Thành phố Hồ Chí Minh, Vietnam",0.7919472
